Riyad Mahrez,LEI,6.6,,Midfielder,WAT-H NEW-A MUN-H,"[Game vs. SOU A: 4 pts, Game vs. CRY H: 6 pts, Game vs. WBA A: 15 pts]",100.0,100.0,163,7.69491127099,23
Jamie Vardy,LEI,7.3,,Forward,WAT-H NEW-A MUN-H,"[Game vs. SOU A: 13 pts, Game vs. CRY H: 5 pts, Game vs. WBA A: 7 pts]",,,170,7.15671256566,21
Romelu Lukaku,EVE,8.5,,Forward,WHU-A AVL-H BOU-A,"[Game vs. MUN H: 1 pts, Game vs. ARS A: 2 pts, Game vs. SUN H: 14 pts]",100.0,100.0,149,6.93198764863,21
Kevin De Bruyne,MCI,10.6,,Midfielder,AVL-A LIV-H SOU-H,"[Game vs. BOU H: 5 pts, Game vs. MUN A: 3 pts, Game vs. NOR H: 5 pts]",,,580,6.747849084,20
Dimitri Payet,WHU,8.3,,Midfielder,EVE-H TOT-A WBA-H,"[Game vs. CRY A: 7 pts, Game vs. CHE H: 5 pts, Game vs. WAT A: 2 pts]",,,482,6.56434046976,20
Alexis Sánchez,ARS,11.6,,Midfielder,TOT-H WBA-A NOR-A,"[Game vs. WAT A: 10 pts, Game vs. EVE H: 2 pts, Game vs. SWA A: 3 pts]",100.0,100.0,13,6.46756150457,19
Mesut Özil,ARS,8.7,,Midfielder,TOT-H WBA-A NOR-A,"[Game vs. WAT A: 12 pts, Game vs. EVE H: 5 pts, Game vs. SWA A: 10 pts]",100.0,100.0,15,6.10392514093,18
Odion Ighalo,WAT,5.4,Knock - 75% chance of playing,Forward,LEI-A MUN-H AVL-A,"[Game vs. ARS H: 2 pts, Game vs. STK A: 7 pts, Game vs. WHU H: 13 pts]",,75.0,442,5.75451405552,17
Georginio Wijnaldum,NEW,7.0,,Midfielder,BOU-A LEI-H CRY-A,"[Game vs. NOR H: 25 pts, Game vs. SUN A: 2 pts, Game vs. STK H: 3 pts]",,,497,5.58883757213,17
Arouna Koné,EVE,4.8,,Forward,WHU-A AVL-H BOU-A,"[Game vs. MUN H: 1 pts, Game vs. ARS A: 1 pts, Game vs. SUN H: 20 pts]",,,151,5.56835128499,17
André Ayew,SWA,7.1,,Midfielder,NOR-A BOU-H LIV-A,"[Game vs. STK H: 2 pts, Game vs. AVL A: 9 pts, Game vs. ARS H: 2 pts]",100.0,100.0,416,5.50507616054,17
Yohan Cabaye,CRY,6.6,,Midfielder,LIV-A SUN-H NEW-H,"[Game vs. WHU H: 9 pts, Game vs. LEI A: 2 pts, Game vs. MUN H: 2 pts]",50.0,100.0,491,5.42956965931,16
Virgil van Dijk,SOU,5.6,,Defender,SUN-A STK-H MCI-A,"[Game vs. LEI H: 9 pts, Game vs. LIV A: 2 pts, Game vs. BOU H: 6 pts]",,,586,5.32371637537,16
Juan Mata,MUN,8.8,,Midfielder,WBA-H WAT-A LEI-A,"[Game vs. EVE A: 1 pts, Game vs. MCI H: 2 pts, Game vs. CRY A: 3 pts]",,,238,5.27957872075,16
Scott Dann,CRY,5.1,,Defender,LIV-A SUN-H NEW-H,"[Game vs. WHU H: 1 pts, Game vs. LEI A: 2 pts, Game vs. MUN H: 6 pts]",100.0,100.0,104,5.17481607245,16
Boaz Myhill,WBA,4.8,,Goalkeeper,MUN-A ARS-H WHU-A,"[Game vs. SUN H: 8 pts, Game vs. NOR A: 8 pts, Game vs. LEI H: 1 pts]",,,445,5.14770220975,15
Petr Cech,ARS,5.6,,Goalkeeper,TOT-H WBA-A NOR-A,"[Game vs. WAT A: 6 pts, Game vs. EVE H: 3 pts, Game vs. SWA A: 7 pts]",,,3,5.125672041,15
Aleksandar Kolarov,MCI,6.2,,Defender,AVL-A LIV-H SOU-H,"[Game vs. BOU H: 0 pts, Game vs. MUN A: 6 pts, Game vs. NOR H: 0 pts]",100.0,100.0,207,5.11550836011,15
Ross Barkley,EVE,6.8,,Midfielder,WHU-A AVL-H BOU-A,"[Game vs. MUN H: 2 pts, Game vs. ARS A: 7 pts, Game vs. SUN H: 2 pts]",,,138,5.09851929026,15
Graziano Pellè,SOU,8.5,,Forward,SUN-A STK-H MCI-A,"[Game vs. LEI H: 2 pts, Game vs. LIV A: 2 pts, Game vs. BOU H: 6 pts]",100.0,100.0,321,4.99128979104,15
Dusan Tadic,SOU,7.0,,Midfielder,SUN-A STK-H MCI-A,"[Game vs. LEI H: 5 pts, Game vs. LIV A: 3 pts, Game vs. BOU H: 6 pts]",,,313,4.98376122613,15
Chris Smalling,MUN,6.5,,Defender,WBA-H WAT-A LEI-A,"[Game vs. EVE A: 11 pts, Game vs. MCI H: 6 pts, Game vs. CRY A: 5 pts]",,,228,4.941055382,15
Bacary Sagna,MCI,5.5,,Defender,AVL-A LIV-H SOU-H,"[Game vs. BOU H: 1 pts, Game vs. MUN A: 6 pts, Game vs. NOR H: 2 pts]",100.0,100.0,212,4.93369017829,15
Héctor Bellerín,ARS,6.0,,Defender,TOT-H WBA-A NOR-A,"[Game vs. WAT A: 10 pts, Game vs. EVE H: 2 pts, Game vs. SWA A: 6 pts]",100.0,100.0,7,4.84026213563,15
Sadio Mané,SOU,8.0,,Midfielder,SUN-A STK-H MCI-A,"[Game vs. LEI H: 2 pts, Game vs. LIV A: 4 pts, Game vs. BOU H: 3 pts]",100.0,100.0,314,4.80194304431,14
Heurelho Gomes,WAT,4.6,,Goalkeeper,LEI-A MUN-H AVL-A,"[Game vs. ARS H: 1 pts, Game vs. STK A: 6 pts, Game vs. WHU H: 9 pts]",,,421,4.76581281488,14
Vincent Kompany,MCI,6.4,,Defender,AVL-A LIV-H SOU-H,"[Game vs. BOU H: 0 pts, Game vs. MUN A: 6 pts, Game vs. NOR H: 2 pts]",100.0,100.0,209,4.75187199647,14
Nacho Monreal,ARS,5.8,,Defender,TOT-H WBA-A NOR-A,"[Game vs. WAT A: 6 pts, Game vs. EVE H: 2 pts, Game vs. SWA A: 6 pts]",,,11,4.74935304472,14
Harry Kane,TOT,9.3,,Forward,ARS-A WHU-H CHE-H,"[Game vs. LIV H: 2 pts, Game vs. BOU A: 17 pts, Game vs. AVL H: 8 pts]",,,350,4.73078100506,14
Gnegneri Yaya Touré,MCI,8.5,,Midfielder,AVL-A LIV-H SOU-H,"[Game vs. BOU H: 1 pts, Game vs. MUN A: 3 pts, Game vs. NOR H: 9 pts]",100.0,100.0,217,4.6281100552,14
Laurent Koscielny,ARS,5.9,,Defender,TOT-H WBA-A NOR-A,"[Game vs. WAT A: 7 pts, Game vs. EVE H: 10 pts, Game vs. SWA A: 15 pts]",100.0,100.0,4,4.5675348629,14
Raheem Sterling,MCI,8.9,,Midfielder,AVL-A LIV-H SOU-H,"[Game vs. BOU H: 19 pts, Game vs. MUN A: 1 pts, Game vs. NOR H: 4 pts]",75.0,100.0,189,4.44629187338,13
Callum Wilson,BOU,5.5,Knee injury - Unknown return date,Forward,NEW-H SWA-A EVE-H,"[Game vs. MCI A: 0 pts, Game vs. TOT H: 0 pts, Game vs. SOU A: 0 pts]",0.0,0.0,74,4.4199460776,13
Anthony Martial,MUN,8.1,,Forward,WBA-H WAT-A LEI-A,"[Game vs. EVE A: 2 pts, Game vs. MCI H: 2 pts, Game vs. CRY A: 2 pts]",,,589,4.39667362154,13
Joe Hart,MCI,5.7,,Goalkeeper,AVL-A LIV-H SOU-H,"[Game vs. BOU H: 2 pts, Game vs. MUN A: 6 pts, Game vs. NOR H: 2 pts]",,,205,4.25759007927,13
Bafétimbi Gomis,SWA,6.9,,Forward,NOR-A BOU-H LIV-A,"[Game vs. STK H: 2 pts, Game vs. AVL A: 2 pts, Game vs. ARS H: 2 pts]",100.0,100.0,417,4.15738954258,12
Marc Albrighton,LEI,4.9,,Midfielder,WAT-H NEW-A MUN-H,"[Game vs. SOU A: 2 pts, Game vs. CRY H: 3 pts, Game vs. WBA A: 10 pts]",,,164,4.14945672553,12
Nathan Redmond,NOR,5.6,,Midfielder,SWA-H CHE-A ARS-H,"[Game vs. NEW A: 7 pts, Game vs. WBA H: 2 pts, Game vs. MCI A: 1 pts]",,,285,4.05298964614,12
Jack Butland,STK,4.6,,Goalkeeper,CHE-H SOU-A SUN-A,"[Game vs. SWA A: 6 pts, Game vs. WAT H: 1 pts, Game vs. NEW A: 11 pts]",,,353,3.98425789959,12
Philippe Coutinho,LIV,8.1,,Midfielder,CRY-H MCI-A SWA-H,"[Game vs. TOT A: 3 pts, Game vs. SOU H: 3 pts, Game vs. CHE A: 14 pts]",100.0,100.0,191,3.96763993737,12
Cheikhou Kouyaté,WHU,5.6,,Midfielder,EVE-H TOT-A WBA-H,"[Game vs. CRY A: 2 pts, Game vs. CHE H: 1 pts, Game vs. WAT A: 2 pts]",100.0,100.0,478,3.83706774249,12
Santiago Cazorla,ARS,8.1,,Midfielder,TOT-H WBA-A NOR-A,"[Game vs. WAT A: 3 pts, Game vs. EVE H: 8 pts, Game vs. SWA A: 3 pts]",,,16,3.83119786821,11
Marko Arnautovic,STK,6.0,,Midfielder,CHE-H SOU-A SUN-A,"[Game vs. SWA A: 3 pts, Game vs. WAT H: 2 pts, Game vs. NEW A: 2 pts]",100.0,100.0,368,3.79277603825,11
Sergio Agüero,MCI,13.1,Hamstring injury - Expected back 21 Nov,Forward,AVL-A LIV-H SOU-H,"[Game vs. BOU H: 0 pts, Game vs. MUN A: 0 pts, Game vs. NOR H: 0 pts]",0.0,0.0,222,3.79221015281,11
