Kevin De Bruyne,MCI,10.5,,Midfielder,"(MUN-A,NOR-H,AVL-A)","[Game vs. TOT A: 7 pts, Game vs. NEW H: 15 pts, Game vs. BOU H: 5 pts]",,,580,8.22999559772
Dimitri Payet,WHU,8.2,,Midfielder,"(CHE-H,WAT-A,EVE-H)","[Game vs. NOR H: 8 pts, Game vs. SUN A: 10 pts, Game vs. CRY A: 7 pts]",,,482,7.48905216049
Riyad Mahrez,LEI,6.5,,Midfielder,"(CRY-H,WBA-A,WAT-H)","[Game vs. ARS H: 2 pts, Game vs. NOR A: 0 pts, Game vs. SOU A: 4 pts]",100.0,100.0,163,7.11365230134
Alexis Sánchez,ARS,11.5,,Midfielder,"(EVE-H,SWA-A,TOT-H)","[Game vs. LEI A: 20 pts, Game vs. MUN H: 16 pts, Game vs. WAT A: 10 pts]",100.0,100.0,13,6.93813199639
Georginio Wijnaldum,NEW,6.9,,Midfielder,"(SUN-A,STK-H,BOU-A)","[Game vs. CHE H: 8 pts, Game vs. MCI A: 5 pts, Game vs. NOR H: 25 pts]",,,497,6.7953673107
Jamie Vardy,LEI,7.0,,Forward,"(CRY-H,WBA-A,WAT-H)","[Game vs. ARS H: 12 pts, Game vs. NOR A: 9 pts, Game vs. SOU A: 13 pts]",,,170,6.79489157323
Virgil van Dijk,SOU,5.5,,Defender,"(LIV-A,BOU-H,SUN-A)","[Game vs. SWA H: 10 pts, Game vs. CHE A: 2 pts, Game vs. LEI H: 9 pts]",,,586,6.60160809785
Graziano Pellè,SOU,8.4,,Forward,"(LIV-A,BOU-H,SUN-A)","[Game vs. SWA H: 8 pts, Game vs. CHE A: 14 pts, Game vs. LEI H: 2 pts]",100.0,100.0,321,6.21058112201
Petr Cech,ARS,5.6,,Goalkeeper,"(EVE-H,SWA-A,TOT-H)","[Game vs. LEI A: 2 pts, Game vs. MUN H: 7 pts, Game vs. WAT A: 6 pts]",,,3,5.82919870728
Héctor Bellerín,ARS,5.8,,Defender,"(EVE-H,SWA-A,TOT-H)","[Game vs. LEI A: 4 pts, Game vs. MUN H: 7 pts, Game vs. WAT A: 10 pts]",100.0,100.0,7,5.59573532633
Nacho Monreal,ARS,5.7,,Defender,"(EVE-H,SWA-A,TOT-H)","[Game vs. LEI A: 8 pts, Game vs. MUN H: 6 pts, Game vs. WAT A: 6 pts]",,,11,5.48462421522
Juan Mata,MUN,8.9,,Midfielder,"(MCI-H,CRY-A,WBA-H)","[Game vs. SUN H: 14 pts, Game vs. ARS A: 2 pts, Game vs. EVE A: 1 pts]",,,238,5.42681022877
Aleksandar Kolarov,MCI,6.1,,Defender,"(MUN-A,NOR-H,AVL-A)","[Game vs. TOT A: 0 pts, Game vs. NEW H: 2 pts, Game vs. BOU H: 0 pts]",0.0,100.0,207,5.40881108573
Mesut Özil,ARS,8.5,,Midfielder,"(EVE-H,SWA-A,TOT-H)","[Game vs. LEI A: 5 pts, Game vs. MUN H: 13 pts, Game vs. WAT A: 12 pts]",100.0,100.0,15,5.38257644084
André Ayew,SWA,7.2,,Midfielder,"(AVL-A,ARS-H,NOR-A)","[Game vs. SOU A: 2 pts, Game vs. TOT H: 9 pts, Game vs. STK H: 2 pts]",100.0,100.0,416,5.24869960266
Yohan Cabaye,CRY,6.6,,Midfielder,"(LEI-A,MUN-H,LIV-A)","[Game vs. WAT A: 9 pts, Game vs. WBA H: 14 pts, Game vs. WHU H: 9 pts]",100.0,100.0,491,5.24648625846
Romelu Lukaku,EVE,8.4,,Forward,"(ARS-A,SUN-H,WHU-A)","[Game vs. WBA A: 16 pts, Game vs. LIV H: 7 pts, Game vs. MUN H: 1 pts]",100.0,100.0,149,5.239759394
Raheem Sterling,MCI,8.8,,Midfielder,"(MUN-A,NOR-H,AVL-A)","[Game vs. TOT A: 2 pts, Game vs. NEW H: 1 pts, Game vs. BOU H: 19 pts]",100.0,100.0,189,5.18605007327
Anthony Martial,MUN,8.4,,Forward,"(MCI-H,CRY-A,WBA-H)","[Game vs. SUN H: 5 pts, Game vs. ARS A: 2 pts, Game vs. EVE A: 2 pts]",,,589,5.1643033053
Dusan Tadic,SOU,7.0,,Midfielder,"(LIV-A,BOU-H,SUN-A)","[Game vs. SWA H: 11 pts, Game vs. CHE A: 2 pts, Game vs. LEI H: 5 pts]",,,313,5.15832118487
Sadio Mané,SOU,7.9,,Midfielder,"(LIV-A,BOU-H,SUN-A)","[Game vs. SWA H: 7 pts, Game vs. CHE A: 11 pts, Game vs. LEI H: 2 pts]",100.0,100.0,314,5.15832118487
Callum Wilson,BOU,5.6,Knee injury - Unknown return date,Forward,"(TOT-H,SOU-A,NEW-H)","[Game vs. STK A: 1 pts, Game vs. WAT H: 0 pts, Game vs. MCI A: 0 pts]",0.0,0.0,74,5.11684421399
Bacary Sagna,MCI,5.4,,Defender,"(MUN-A,NOR-H,AVL-A)","[Game vs. TOT A: 0 pts, Game vs. NEW H: 0 pts, Game vs. BOU H: 1 pts]",100.0,100.0,212,4.96436664129
Ross Barkley,EVE,6.8,,Midfielder,"(ARS-A,SUN-H,WHU-A)","[Game vs. WBA A: 2 pts, Game vs. LIV H: 1 pts, Game vs. MUN H: 2 pts]",,,138,4.93703267702
Odion Ighalo,WAT,5.3,,Forward,"(STK-A,WHU-H,LEI-A)","[Game vs. CRY H: 2 pts, Game vs. BOU A: 9 pts, Game vs. ARS H: 2 pts]",,,442,4.82161685705
Vincent Kompany,MCI,6.3,,Defender,"(MUN-A,NOR-H,AVL-A)","[Game vs. TOT A: 0 pts, Game vs. NEW H: 0 pts, Game vs. BOU H: 0 pts]",100.0,100.0,209,4.74214441907
Boaz Myhill,WBA,4.7,,Goalkeeper,"(NOR-A,LEI-H,MUN-A)","[Game vs. EVE H: 1 pts, Game vs. CRY A: 3 pts, Game vs. SUN H: 8 pts]",,,445,4.68997086975
Toby Alderweireld,TOT,5.2,,Defender,"(BOU-A,AVL-H,ARS-A)","[Game vs. MCI H: 9 pts, Game vs. SWA A: 1 pts, Game vs. LIV H: 6 pts]",,,306,4.67587702864
Mame Biram Diouf,STK,6.4,Personal Reasons - 75% chance of playing,Forward,"(WAT-H,NEW-A,CHE-H)","[Game vs. BOU H: 7 pts, Game vs. AVL A: 2 pts, Game vs. SWA A: 0 pts]",0.0,75.0,371,4.66031782558
Sergio Agüero,MCI,13.1,Hamstring injury - Expected back 21 Nov,Forward,"(MUN-A,NOR-H,AVL-A)","[Game vs. TOT A: 2 pts, Game vs. NEW H: 25 pts, Game vs. BOU H: 0 pts]",0.0,0.0,222,4.64705041126
Gnegneri Yaya Touré,MCI,8.6,,Midfielder,"(MUN-A,NOR-H,AVL-A)","[Game vs. TOT A: 4 pts, Game vs. NEW H: 0 pts, Game vs. BOU H: 1 pts]",100.0,100.0,217,4.63049451771
Cheikhou Kouyaté,WHU,5.6,,Midfielder,"(CHE-H,WAT-A,EVE-H)","[Game vs. NOR H: 8 pts, Game vs. SUN A: 2 pts, Game vs. CRY A: 2 pts]",100.0,100.0,478,4.6001632716
Nathan Redmond,NOR,5.6,,Midfielder,"(WBA-H,MCI-A,SWA-H)","[Game vs. WHU A: 6 pts, Game vs. LEI H: 1 pts, Game vs. NEW A: 7 pts]",,,285,4.59154112516
Hugo Lloris,TOT,5.0,,Goalkeeper,"(BOU-A,AVL-H,ARS-A)","[Game vs. MCI H: 5 pts, Game vs. SWA A: 1 pts, Game vs. LIV H: 8 pts]",100.0,100.0,323,4.49469212185
